label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	category	namespace	recall	track	clade	median_pident
astyanax.rbh.all	SYN_GO0032774	BP	50	50	0.8319454918899858	astyanax	rbh	all	conserved	biological_process	0.3398058252427184	fish	fish	76.5
astyanax.rbh.all	SYN_GO0032991	BP	50	50	0.6335142863846408	astyanax	rbh	all	other	cellular_component	0.1884057971014492	fish	fish	76.5
astyanax.rbh.all	SYN_GO0033036	BP	50	50	0.7811604618440557	astyanax	rbh	all	other	biological_process	0.2030075187969924	fish	fish	76.5
astyanax.rbh.all	SYN_GO0033993	BP	43	25	0.7190881895332568	astyanax	rbh	all	other	biological_process	0.2790697674418604	fish	fish	76.5
astyanax.rbh.all	SYN_GO0034654	BP	50	50	0.8325480018768101	astyanax	rbh	all	conserved	biological_process	0.2641509433962264	fish	fish	76.5
astyanax.rbh.all	SYN_GO0035107	BP	50	50	0.7687392473487361	astyanax	rbh	all	specific	biological_process	0.2375690607734806	fish	fish	76.5
astyanax.rbh.all	SYN_GO0035162	BP	50	41	0.6385839968907514	astyanax	rbh	all	specific	biological_process	0.180722891566265	fish	fish	76.5
astyanax.rbh.all	SYN_GO0036094	BP	16	26	0.5510447100248953	astyanax	rbh	all	other	molecular_function	0.3125	fish	fish	76.5
astyanax.rbh.all	SYN_GO0038023	BP	39	50	0.7132522901101127	astyanax	rbh	all	other	molecular_function	0.4871794871794871	fish	fish	76.5
astyanax.rbh.all	SYN_GO0040008	BP	50	15	0.6856806386082603	astyanax	rbh	all	other	biological_process	0.0689655172413793	fish	fish	76.5
astyanax.rbh.all	SYN_GO0042221	BP	50	50	0.7118922149526705	astyanax	rbh	all	other	biological_process	0.313953488372093	fish	fish	76.5
astyanax.rbh.all	SYN_GO0042995	BP	50	50	0.8354121768727023	astyanax	rbh	all	other	cellular_component	0.3434343434343434	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043067	BP	50	50	0.6187322191108683	astyanax	rbh	all	other	biological_process	0.1538461538461538	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043167	BP	11	25	0.550177459594367	astyanax	rbh	all	other	molecular_function	0.4545454545454545	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043170	BP	50	50	0.8608472086013179	astyanax	rbh	all	conserved	biological_process	0.2794117647058823	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043227	BP	50	50	0.7471391427338838	astyanax	rbh	all	other	cellular_component	0.2891566265060241	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043228	BP	50	50	0.7772874453639608	astyanax	rbh	all	other	cellular_component	0.4634146341463415	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043231	BP	50	50	0.7385614425318147	astyanax	rbh	all	other	cellular_component	0.2635658914728682	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043232	BP	50	50	0.7772874453639608	astyanax	rbh	all	other	cellular_component	0.4634146341463415	fish	fish	76.5
astyanax.rbh.all	SYN_GO0043565	BP	50	50	0.873720191884552	astyanax	rbh	all	other	molecular_function	0.3617021276595745	fish	fish	76.5
astyanax.rbh.all	SYN_GO0044238	BP	50	50	0.8689640979131594	astyanax	rbh	all	conserved	biological_process	0.3037974683544304	fish	fish	76.5
