label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0022803	MF	48	42	0.8156588158703351	amphioxus	rbh	all	fish	fish	50.6	650	0.5208333333333334
amphioxus.rbh.all	SYN_GO0022836	BP	18	38	0.7532952083320563	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0022836	CC	3	20	0.6268811411576575	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0022836	MF	49	38	0.7838192665808901	amphioxus	rbh	all	fish	fish	50.6	650	0.4489795918367347
amphioxus.rbh.all	SYN_GO0022857	BP	30	48	0.811841819006641	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0022857	CC	3	21	0.6576126349286264	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0022857	MF	47	43	0.9029337236548725	amphioxus	rbh	all	fish	fish	50.6	650	0.6595744680851063
amphioxus.rbh.all	SYN_GO0023051	BP	50	50	0.852695930148926	amphioxus	rbh	all	fish	fish	50.6	650	0.1754874651810584
amphioxus.rbh.all	SYN_GO0023051	MF	2	12	0.5449422133068024	amphioxus	rbh	all	fish	fish	50.6	650	0.5
amphioxus.rbh.all	SYN_GO0023056	BP	50	50	0.8348515893422532	amphioxus	rbh	all	fish	fish	50.6	650	0.1328125
amphioxus.rbh.all	SYN_GO0023056	CC	0	3	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0023056	MF	2	7	0.5015864998030705	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0030029	BP	50	15	0.7363201047660921	amphioxus	rbh	all	fish	fish	50.6	650	0.1363636363636363
amphioxus.rbh.all	SYN_GO0030029	CC	5	5	0.7110804054700828	amphioxus	rbh	all	fish	fish	50.6	650	0.4
amphioxus.rbh.all	SYN_GO0030029	MF	0	4	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0030036	BP	50	15	0.7363201047660921	amphioxus	rbh	all	fish	fish	50.6	650	0.1379310344827586
amphioxus.rbh.all	SYN_GO0030036	CC	5	5	0.7110804054700828	amphioxus	rbh	all	fish	fish	50.6	650	0.4
amphioxus.rbh.all	SYN_GO0030036	MF	0	4	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
