track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	human	fish	besthit	all	BP	shallow		0.41197482385807377	0.37981367192006976	125.15238095238095	63.1
fish	human	fish	besthit	all	CC	mid			0.0	0.0	63.1
fish	human	fish	besthit	all	CC	shallow		0.3876052094789191	0.2701762965569217	9.71	63.1
fish	human	fish	besthit	all	MF	mid			0.0	0.0	63.1
fish	human	fish	besthit	all	MF	shallow		0.5534167866847909	0.3503600673472243	13.699029126213592	63.1
fish	human	fish	besthit	exp	BP	mid			0.0	0.0	63.1
fish	human	fish	besthit	exp	BP	shallow		0.3196404320791728	0.35223804035846523	125.15238095238095	63.1
fish	human	fish	besthit	exp	CC	mid			0.0	0.0	63.1
fish	human	fish	besthit	exp	CC	shallow		0.38179667958951086	0.2731921727337634	9.908163265306122	63.1
fish	human	fish	besthit	exp	MF	mid			0.0	0.0	63.1
fish	human	fish	besthit	exp	MF	shallow		0.5682571601074273	0.3858179490997975	13.833333333333334	63.1
fish	human	fish	rbh	all	BP	mid			0.0	0.0	63.1
fish	human	fish	rbh	all	BP	shallow		0.43109434228015064	0.40658026623332466	125.15238095238095	63.1
fish	human	fish	rbh	all	CC	mid			0.0	0.0	63.1
fish	human	fish	rbh	all	CC	shallow		0.4342828840975765	0.30141560565315256	10.114583333333334	63.1
fish	human	fish	rbh	all	MF	mid			0.0	0.0	63.1
fish	human	fish	rbh	all	MF	shallow		0.539994496932701	0.35646799037618726	13.970297029702971	63.1
fish	human	fish	rbh	exp	BP	mid			0.0	0.0	63.1
fish	human	fish	rbh	exp	BP	shallow		0.3233884208595982	0.3649510822943871	125.15238095238095	63.1
fish	human	fish	rbh	exp	CC	mid			0.0	0.0	63.1
fish	human	fish	rbh	exp	CC	shallow		0.3409334101776183	0.27433945555527345	10.440860215053764	63.1
fish	human	fish	rbh	exp	MF	mid			0.0	0.0	63.1
fish	human	fish	rbh	exp	MF	shallow		0.555756132051585	0.4119193680890182	14.54639175257732	63.1
fish	lamprey	fish	besthit	all	BP	mid			0.0	0.0	56.4
fish	lamprey	fish	besthit	all	BP	shallow		0.282315508799596	0.34582255970953224	125.15238095238095	56.4
fish	lamprey	fish	besthit	all	CC	mid			0.0	0.0	56.4
fish	lamprey	fish	besthit	all	CC	shallow		0.385946092533742	0.32716478266974386	10.78888888888889	56.4
fish	lamprey	fish	besthit	all	MF	mid			0.0	0.0	56.4
fish	lamprey	fish	besthit	all	MF	shallow		0.504373279838692	0.39162957577882285	14.54639175257732	56.4
fish	lamprey	fish	rbh	all	BP	mid			0.0	0.0	56.4
fish	lamprey	fish	rbh	all	BP	shallow		0.24541761060406717	0.3128665273350267	125.15238095238095	56.4
fish	lamprey	fish	rbh	all	CC	mid			0.0	0.0	56.4
fish	lamprey	fish	rbh	all	CC	shallow		0.39488610506452304	0.3287407177023863	10.78888888888889	56.4
fish	lamprey	fish	rbh	all	MF	mid			0.0	0.0	56.4
fish	lamprey	fish	rbh	all	MF	shallow		0.32708002091032506	0.31746744205514876	15.172043010752688	56.4
fish	medaka	fish	besthit	all	BP	mid			0.0	0.0	70.4
fish	medaka	fish	besthit	all	BP	shallow		0.36887489145276076	0.42296246206316324	125.15238095238095	70.4
fish	medaka	fish	besthit	all	CC	mid			0.0	0.0	70.4
