track	clade	ref	aspect	median_pident	wang	recall	n	wang_lo	wang_hi	recall_lo	recall_hi
fungi	fungi	c_glabrata	CC	58.1	0.7461266770166674	0.3500760688368544	120	0.7001797171633591	0.7872083773322726	0.31634581891642144	0.3831306557464344
fungi	fungi	c_glabrata	MF	58.1	0.6707436252312668	0.3488116486903328	114	0.6246146016164003	0.7134025085903934	0.3090499407844821	0.38539227085571015
fungi	fungi	cryptococcus	BP	39.9	0.7074295914366246	0.2512209790865624	120	0.6478314872520492	0.7560677608547732	0.21134041947960003	0.29129738901612096
fungi	fungi	cryptococcus	CC	39.9	0.7131260720871033	0.32033903942072767	120	0.6655476789047403	0.7579233649415421	0.27786067730885267	0.36416721967127375
fungi	fungi	cryptococcus	MF	39.9	0.67340290646698	0.36764295526080126	117	0.6255412169491409	0.7192239266427901	0.3313265364894009	0.4039181822917835
fungi	fungi	e_gossypii	BP	53.4	0.8610206663960436	0.4278722847235333	120	0.8403261311417228	0.8800387748059444	0.39697958092148294	0.4584554904389819
fungi	fungi	e_gossypii	CC	53.4	0.8609112884143106	0.5750155057364662	120	0.8264566592058418	0.8912262061930258	0.5353497757194983	0.612952035398406
fungi	fungi	e_gossypii	MF	53.4	0.7936410759083312	0.5323785540433281	112	0.7578828640886847	0.8266392919613663	0.4996413287403297	0.5633193184868595
fungi	fungi	human	BP	37.8	0.7179826922071797	0.3264387252759177	120	0.6747873745930044	0.7579925689498813	0.2863377582802918	0.36526375974168723
fungi	fungi	human	CC	37.8	0.6866702269047267	0.35683166618755513	119	0.6236915972149482	0.7348222383162235	0.3125343270006164	0.4052171090317853
fungi	fungi	human	MF	37.8	0.6662046048848141	0.4119780778765382	117	0.613251084365211	0.7172106922264906	0.36904061052180803	0.4556295830446899
fungi	fungi	k_lactis	BP	54.3	0.8478274780950515	0.4012600775450034	120	0.8225958446708288	0.868358839550463	0.36736351134438583	0.4340526750026626
fungi	fungi	k_lactis	CC	54.3	0.8507757112593829	0.5493173230253192	120	0.8147697271289974	0.8841154895241518	0.5123774398414409	0.5889287629083474
fungi	fungi	k_lactis	MF	54.3	0.7905238332034611	0.5253863177023386	112	0.751427618346464	0.8248398555141102	0.48969164178324226	0.5574972425452924
fungi	fungi	k_marxianus	BP	54.0	0.8518291363634234	0.3934590794589388	120	0.8345458978324847	0.8694437835413332	0.3603060666116774	0.42929819630022814
fungi	fungi	k_marxianus	CC	54.0	0.8426300949126472	0.5382728150865185	120	0.8030173184631932	0.8784902638144567	0.5009490584499003	0.5756722851484215
fungi	fungi	k_marxianus	MF	54.0	0.7830775168078468	0.49565877123584323	112	0.741017500269229	0.8159727198308133	0.4592618225719577	0.5292356536076579
fungi	fungi	magnaporthe	BP	41.1	0.7643473199752163	0.2824730245546452	120	0.7228970102373056	0.8028751796521179	0.24455080301663126	0.3210027444192118
fungi	fungi	magnaporthe	CC	41.1	0.6992201277738743	0.34416603051303707	120	0.6462169791198864	0.7498829048222364	0.2996798047677193	0.39247315525348225
fungi	fungi	magnaporthe	MF	41.1	0.7346071225465796	0.4141521500451731	110	0.6972562728235056	0.7712840994593695	0.3770990600114712	0.45165983027059053
fungi	fungi	neurospora	BP	41.3	0.764632000175655	0.3120693827982104	120	0.7243840662653865	0.8022518906391466	0.27352752371056294	0.347026993922256
fungi	fungi	neurospora	CC	41.3	0.7814959495002711	0.4096072831656572	120	0.7399029125498287	0.8152849499889396	0.3728496908921242	0.4480747454585992
fungi	fungi	neurospora	MF	41.3	0.7084135532186534	0.40540443465807036	116	0.6643954344122439	0.7499520687995525	0.368655078474414	0.4454914579252436
fungi	fungi	pombe	BP	41.2	0.8176137679986276	0.4336230179489252	120	0.7889521680276127	0.8433025939705597	0.39834932875072404	0.46616390997503027
fungi	fungi	pombe	CC	41.2	0.7964848114883408	0.5016586075508113	120	0.7542875920686166	0.8360226606041414	0.458955296682616	0.5422348629621235
fungi	fungi	pombe	MF	41.2	0.7161724815402027	0.5051949229223051	120	0.6648583452755634	0.7592197297819575	0.4649004770850388	0.5430782530885914
fungi	fungi	s_uvarum	BP	84.3	0.8725384904747949	0.4650034657029061	120	0.8514550641063701	0.8894492823516817	0.4329487206482314	0.5014665997207629
fungi	fungi	s_uvarum	CC	84.3	0.8681489467739655	0.6077631820463837	120	0.8338728844514153	0.8976984452780271	0.5693116243520242	0.6443512576212224
fungi	fungi	s_uvarum	MF	84.3	0.7822961298076576	0.5814998864206734	116	0.7423409112036414	0.8184589101617284	0.5497254247595359	0.6120195236949402
fungi	fungi	torulaspora	BP	59.9	0.7744109645827412	0.2764241704112936	120	0.7353794590503158	0.8080064649050471	0.24859717345408425	0.30524206466435927
fungi	fungi	torulaspora	CC	59.9	0.7189293956646396	0.31115978696478536	120	0.6694795644291693	0.7646407297663137	0.27716211589949113	0.3462001629856242
fungi	fungi	torulaspora	MF	59.9	0.6654630970454151	0.30430027835400597	112	0.6207594062870726	0.7065322158947834	0.26798203715754104	0.3396703968801921
fungi	fungi	yarrowia	BP	43.9	0.7825027520165191	0.3338896694618712	120	0.7430143937447191	0.8200471743612292	0.29899425683172315	0.37240059764137773
fungi	fungi	yarrowia	CC	43.9	0.8088985285717224	0.47347897712746984	120	0.7696114452495966	0.8441715714841271	0.43543021821026945	0.5088579667840294
fungi	fungi	yarrowia	MF	43.9	0.7064165384574564	0.4311403093912678	117	0.6549733009156546	0.7492576135752028	0.3914841373775318	0.4677645439027088
fungi	fungi	z_rouxii	BP	58.5	0.8516295088655206	0.403843658211305	120	0.831432933125658	0.8712488392301392	0.3694014955661656	0.4411493697722893
fungi	fungi	z_rouxii	CC	58.5	0.8454766023692125	0.5434505596680806	120	0.8080807988778963	0.8789984745893596	0.5056911759306564	0.5823876965462685
fungi	fungi	z_rouxii	MF	58.5	0.7954582077058879	0.5239648630129452	112	0.7599524771357951	0.8258772757878421	0.4931165482436033	0.5562075381424093
insect	insect	aedes	BP	55.5	0.812245720725192	0.30857733089293926	120	0.7880795887004615	0.8344379097753755	0.276134819619372	0.3438664877175689
insect	insect	aedes	CC	55.5	0.7967642984988075	0.449127049079198	118	0.7613588939616649	0.8313961934137494	0.4103373243513615	0.49107076092458146
insect	insect	aedes	MF	55.5	0.7212388206812766	0.5537089076868891	120	0.6789427776342312	0.7630830721385384	0.5099215687141878	0.5970762113186426
insect	insect	anopheles	BP	55.2	0.8188971974677829	0.3267247099007606	120	0.8008640944181693	0.836564034182256	0.29393882491477835	0.35887448415331513
insect	insect	anopheles	CC	55.2	0.7927179946636949	0.46842438643931694	118	0.7495021955123499	0.8272504388088493	0.42404012499709537	0.5129061720557445
insect	insect	anopheles	MF	55.2	0.7614208091778317	0.5834558761516141	119	0.7278934332424754	0.7934898794782599	0.5438302429253548	0.6272120593951844
insect	insect	aphid	BP	48.3	0.7811627514713967	0.26620537837236713	120	0.7536011110942313	0.8061434262207728	0.2317625769219741	0.3039865297229218
insect	insect	aphid	CC	48.3	0.7685056803727287	0.3919320707628137	118	0.7301102445024301	0.8053116910198864	0.3521126781897352	0.43007310311607694
